team,abbreviation,league,city,state,color1,color2,logo
Dallas Mavericks,DAL,NBA,Dallas,TX,#00538C,#002B5E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/dal.png
Denver Nuggets,DEN,NBA,Denver,CO,#0E2240,#FEC524,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/den.png
Detroit Pistons,DET,NBA,Detroit,MI,#C8102E,#006BB6,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/det.png
Golden State Warriors,GSW,NBA,Oakland,CA,#006BB6,#FDB927,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/gsw.png
Houston Rockets,HOU,NBA,Houston,TX,#CE1141,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/hou.png
Indiana Pacers,IND,NBA,Indianapolis,IN,#002D62,#FDBB30,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/ind.png
LA Clippers,LAC,NBA,Los Angeles,CA,#1D428A,#C8102E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/lac.png
LA Lakers,LAL,NBA,Los Angeles,CA,#552583,#FDB927,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/lal.png
Memphis Grizzlies,MEM,NBA,Memphis,TN,#5D76A9,#12173F,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/mem.png
Miami Heat,MIA,NBA,Miami,FL,#98002E,#F9A01B,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/mia.png
Milwaukee Bucks,MIL,NBA,Milwaukee,WI,#00471B,#EEE1C6,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/mil.png
Minnesota Timberwolves,MIN,NBA,Minneapolis,MN,#0C2340,#236192,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/min.png
New Orleans Pelicans,NO,NBA,New Orleans,LA,#0C2340,#C8102E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/no.png
New York Knicks,NYK,NBA,New York,NY,#F58426,#006BB6,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/nyk.png
Oklahoma City Thunder,OKC,NBA,Oklahoma City,OK,#007AC1,#EF3B24,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/okc.png
Orlando Magic,ORL,NBA,Orlando,FL,#0077C0,#C4CED4,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/orl.png
Philadelphia 76ers,PHI,NBA,Philadelphia,PA,#006BB6,#ED174C,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/phi.png
Phoenix Suns,PHX,NBA,Phoenix,AZ,#1D1160,#E56020,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/phx.png
Portland Trailblazers,POR,NBA,Portland,OR,#E03A3E,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/por.png
Sacramento Kings,SAC,NBA,Sacramento,CA,#5A2D81,#63727A,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/sac.png
San Antonio Spurs,SAS,NBA,San Antonio,TX,#C4CED4,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/sas.png
Toronto Raptors,TOR,NBA,Toronto,ON,#CE1141,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/tor.png
Utah Jazz,UTAH,NBA,Salt Lake City,UT,#002B5C,#00471B,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/utah.png
Washington Wizards,WAS,NBA,Washington,DC,#002B5C,#E31837,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/was.png
